timestamp,node,event,data
1642674189272314002,Node3,1,0 NaN 0.000000
1642674189469865171,Node3,1,0 NaN 0.000000
1642674189670520328,Node3,1,0 NaN 0.000000
1642674189871023739,Node3,1,0 NaN 0.000000
1642674190074585224,Node3,1,115 0.008398 0.010097
1642674190287799482,Node3,1,685 0.210465 0.219934
1642674190472613860,Node3,1,0 NaN 0.000000
1642674190673874263,Node3,1,0 NaN 0.000000
1642674190873918319,Node3,1,0 NaN 0.000000
1642674191079854674,Node3,1,172 0.012410 0.015208
1642674191286079469,Node3,1,428 0.207790 0.215899
1642674191478915183,Node3,1,0 NaN 0.000000
1642674191678086496,Node3,1,0 NaN 0.000000
1642674191879486792,Node3,1,0 NaN 0.000000
1642674192085474267,Node3,1,270 0.016225 0.020451
1642674192288631986,Node3,1,330 0.209333 0.215233
1642674192481395711,Node3,1,0 NaN 0.000000
1642674192681913247,Node3,1,0 NaN 0.000000
1642674192881086188,Node3,1,0 NaN 0.000000
1642674193094924466,Node3,1,392 0.024116 0.030369
1642674193287487110,Node3,1,208 0.206115 0.210813
1642674193484008516,Node3,1,0 NaN 0.000000
1642674193684734970,Node3,1,0 NaN 0.000000
1642674193885829481,Node3,1,0 NaN 0.000000
1642674194098012015,Node3,1,519 0.025014 0.033268
1642674194288602674,Node3,1,81 0.206814 0.208113
1642674194488972726,Node3,1,0 NaN 0.000000
1642674194687207496,Node3,1,0 NaN 0.000000
1642674194890496926,Node3,1,0 NaN 0.000000
1642674195102348380,Node3,1,600 0.028332 0.037586
1642674195292145647,Node3,1,0 NaN 0.000000
1642674195491245870,Node3,1,0 NaN 0.000000
1642674195692817031,Node3,1,0 NaN 0.000000
1642674195893049422,Node3,1,0 NaN 0.000000
1642674196107147645,Node3,1,600 0.032832 0.041914
1642674196373855776,Node3,1,1200 2.796143 5.305880
1642674196493716698,Node3,1,0 NaN 0.000000
1642674196693764972,Node3,1,0 NaN 0.000000
1642674196895276365,Node3,1,0 NaN 0.000000
1642674197109825497,Node3,1,600 0.035468 0.044819
1642674197297456494,Node3,1,0 NaN 0.000000
1642674197499825124,Node3,1,0 NaN 0.000000
1642674197698649507,Node3,1,0 NaN 0.000000
